Timestamp,X_mG,Y_mG,Z_mG
1775850844.355,-32891.60,-32957.90,-31985.65
1775850844.374,-32891.60,-32957.90,-31985.65
1775850844.391,-32891.60,-32957.90,-31985.65
1775850844.403,-32891.60,-32957.90,-31985.65
1775850844.419,-32891.60,-32957.90,-31985.65
1775850844.440,-32891.60,-32957.90,-31985.65
1775850844.467,-32891.60,-32957.90,-31985.65
1775850844.481,-32891.60,-32957.90,-31985.65
1775850844.487,-32891.60,-32957.90,-31985.65
1775850844.514,-32891.60,-32957.90,-31985.65
1775850844.516,-32891.60,-32957.90,-31985.65
1775850844.547,-32891.60,-32957.90,-31985.65
1775850844.570,-32891.60,-32957.90,-31985.65
1775850844.582,-32891.60,-32957.90,-31985.65
1775850844.594,-32891.60,-32957.90,-31985.65
1775850844.611,-32891.60,-32957.90,-31985.65
1775850844.626,-32891.60,-32957.90,-31985.65
1775850844.641,-32891.60,-32957.90,-31985.65
1775850844.644,-32891.60,-32957.90,-31985.65
1775850844.675,-32891.60,-32957.90,-31985.65
1775850844.691,-32891.60,-32957.90,-31985.65
1775850844.705,-32891.60,-32957.90,-31985.65
1775850844.709,-32891.60,-32957.90,-31985.65
1775850844.740,-32891.60,-32957.90,-31985.65
1775850844.754,-32891.60,-32957.90,-31985.65
1775850844.765,-32891.60,-32957.90,-31985.65
1775850844.782,-32891.60,-32957.90,-31985.65
1775850844.786,-32891.60,-32957.90,-31985.65
1775850844.804,-32891.60,-32957.90,-31985.65
1775850844.836,-32891.60,-32957.90,-31985.65
1775850844.850,-32891.60,-32957.90,-31985.65
1775850844.866,-32891.60,-32957.90,-31985.65
1775850844.900,-32891.60,-32957.90,-31985.65
1775850844.914,-32891.60,-32957.90,-31985.65
1775850844.914,-32891.60,-32957.90,-31985.65
1775850844.953,-32891.60,-32957.90,-31985.65
1775850844.963,-32891.60,-32957.90,-31985.65
1775850844.978,-32891.60,-32957.90,-31985.65
1775850844.994,-32891.60,-32957.90,-31985.65
1775850845.009,-32891.60,-32957.90,-31985.65
